"Date","AbsoluteTime","Temperature"
"2013-01-01",3565987200,9.28
"2013-01-02",3566073600,8
"2013-01-03",3566160000,4.67
"2013-01-04",3566246400,3.61
"2013-01-05",3566332800,2.61
"2013-01-06",3566419200,7.06
"2013-01-07",3566505600,6.17
"2013-01-08",3566592000,7.22
"2013-01-09",3566678400,13.28
"2013-01-10",3566764800,16.39
"2013-01-11",3566851200,17.83
"2013-01-12",3566937600,17.5
"2013-01-13",3567024000,18.56
"2013-01-14",3567110400,19.11
"2013-01-15",3567196800,9
"2013-01-16",3567283200,14.33
"2013-01-17",3567369600,11.61
"2013-01-18",3567456000,2.72
"2013-01-19",3567542400,0.56
"2013-01-20",3567628800,2.22
"2013-01-21",3567715200,4
"2013-01-22",3567801600,3.5
"2013-01-23",3567888000,0.67
"2013-01-24",3567974400,10.22
"2013-01-25",3568060800,3.39
"2013-01-26",3568147200,5.11
"2013-01-27",3568233600,7.06
"2013-01-28",3568320000,7.72
"2013-01-29",3568406400,7.89
"2013-01-30",3568492800,18.89
"2013-01-31",3568579200,6.67
"2013-02-01",3568665600,3.06
"2013-02-02",3568752000,1.44
"2013-02-03",3568838400,6.06
"2013-02-04",3568924800,4.56
"2013-02-05",3569011200,3.67
"2013-02-06",3569097600,8.67
"2013-02-07",3569184000,6.94
"2013-02-08",3569270400,8.11
"2013-02-09",3569356800,4.17
"2013-02-10",3569443200,7.61
"2013-02-11",3569529600,12.28
"2013-02-12",3569616000,9.33
"2013-02-13",3569702400,7.89
"2013-02-14",3569788800,5
"2013-02-15",3569875200,3.67
"2013-02-16",3569961600,7.39
"2013-02-17",3570048000,-0.78
"2013-02-18",3570134400,-0.5
"2013-02-19",3570220800,9.72
"2013-02-20",3570307200,5.11
"2013-02-21",3570393600,4.06
"2013-02-22",3570480000,11.17
"2013-02-23",3570566400,5.83
"2013-02-24",3570652800,9.44
"2013-02-25",3570739200,5.5
"2013-02-26",3570825600,5.44
"2013-02-27",3570912000,7.22
"2013-02-28",3570998400,8.89
"2013-03-01",3571084800,2.78
"2013-03-02",3571171200,2.78
"2013-03-03",3571257600,1.61
"2013-03-04",3571344000,3.89
"2013-03-05",3571430400,11.61
"2013-03-06",3571516800,4.39
"2013-03-07",3571603200,1.89
"2013-03-08",3571689600,4.33
"2013-03-09",3571776000,6.11
"2013-03-10",3571862400,13.78
"2013-03-11",3571948800,16
"2013-03-12",3572035200,9.44
"2013-03-13",3572121600,7.78
"2013-03-14",3572208000,3.78
"2013-03-15",3572294400,7.17
"2013-03-16",3572380800,16.11
"2013-03-17",3572467200,16.28
"2013-03-18",3572553600,16.22
"2013-03-19",3572640000,9.17
"2013-03-20",3572726400,9.61
"2013-03-21",3572812800,6.89
"2013-03-22",3572899200,4.44
"2013-03-23",3572985600,8.83
"2013-03-24",3573072000,10.44
"2013-03-25",3573158400,7.28
"2013-03-26",3573244800,1.72
"2013-03-27",3573331200,1.39
"2013-03-28",3573417600,5
"2013-03-29",3573504000,5.33
"2013-03-30",3573590400,14.11
"2013-03-31",3573676800,14.06
"2013-04-01",3573763200,14.33
"2013-04-02",3573849600,13.56
"2013-04-03",3573936000,10.78
"2013-04-04",3574022400,9.11
"2013-04-05",3574108800,5.06
"2013-04-06",3574195200,8.33
"2013-04-07",3574281600,12.56
"2013-04-08",3574368000,14.78
"2013-04-09",3574454400,15.61
"2013-04-10",3574540800,17.72
"2013-04-11",3574627200,22.5
"2013-04-12",3574713600,19.67
"2013-04-13",3574800000,13.39
"2013-04-14",3574886400,11.61
"2013-04-15",3574972800,14.17
"2013-04-16",3575059200,16.94
"2013-04-17",3575145600,18.94
"2013-04-18",3575232000,21.72
"2013-04-19",3575318400,22.78
"2013-04-20",3575404800,7.67
"2013-04-21",3575491200,7.17
"2013-04-22",3575577600,14.44
"2013-04-23",3575664000,14.5
"2013-04-24",3575750400,13.61
"2013-04-25",3575836800,13.44
"2013-04-26",3575923200,9.22
"2013-04-27",3576009600,19.06
