"id","cap-Shape","cap-Surface","cap-Color","bruises?","odor","gill-Attachment","gill-Spacing","gill-Size","gill-Color","stalk-Shape","stalk-Root","stalk-Surface-Above-Ring","stalk-Surface-Below-Ring","stalk-Color-Above-Ring","stalk-Color-Below-Ring","veil-Type","veil-Color","ring-Number","ring-Type","spore-Print-Color","population","habitat","edibility"
1,"convex","smooth","brown","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","urban","poisonous"
2,"convex","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
3,"bell","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
4,"convex","scaly","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","urban","poisonous"
5,"convex","smooth","gray","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
6,"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses","edible"
7,"bell","smooth","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
8,"bell","scaly","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
9,"convex","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses","poisonous"
10,"bell","smooth","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
11,"convex","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
12,"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
13,"bell","smooth","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
14,"convex","scaly","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","poisonous"
15,"convex","fibrous","brown","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses","edible"
16,"sunken","fibrous","gray","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban","edible"
17,"flat","fibrous","white","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
18,"convex","smooth","brown","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","poisonous"
19,"convex","scaly","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban","poisonous"
20,"convex","smooth","brown","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban","poisonous"
21,"bell","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
22,"convex","scaly","brown","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses","poisonous"
23,"bell","scaly","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
24,"bell","scaly","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
25,"bell","smooth","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
26,"flat","smooth","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses","poisonous"
27,"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
28,"convex","scaly","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
29,"flat","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","urban","edible"
30,"convex","smooth","yellow","True","almond","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
31,"bell","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
32,"convex","scaly","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban","poisonous"
33,"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
34,"convex","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","paths","edible"
35,"bell","scaly","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows","edible"
36,"convex","fibrous","yellow","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
37,"sunken","fibrous","gray","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban","edible"
38,"convex","scaly","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban","poisonous"
39,"convex","fibrous","yellow","True","almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
40,"bell","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
41,"bell","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses","edible"
42,"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths","edible"
43,"convex","fibrous","brown","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","urban","edible"
44,"convex","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses","poisonous"
45,"convex","smooth","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows","edible"
46,"convex","scaly","white","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses","edible"
47,"convex","scaly","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows","edible"
48,"convex","smooth","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
49,"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","paths","edible"
50,"flat","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths","edible"
51,"convex","scaly","brown","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
52,"convex","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses","edible"
53,"bell","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows","edible"
54,"convex","scaly","brown","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","poisonous"
55,"convex","smooth","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban","poisonous"
