"id","passengerClass","passengerAge","passengerSex","passengerSurvival"
1,"1st",30,"female","survived"
2,"1st",0,"male","survived"
3,"1st",0,"female","died"
4,"1st",30,"male","died"
5,"1st",20,"female","died"
6,"1st",50,"male","survived"
7,"1st",60,"female","survived"
8,"1st",40,"male","died"
9,"1st",50,"female","survived"
10,"1st",70,"male","died"
11,"1st",50,"male","died"
12,"1st",20,"female","survived"
13,"1st",20,"female","survived"
14,"1st",30,"female","survived"
15,"1st",80,"male","survived"
16,"1st",-1,"male","died"
17,"1st",20,"male","died"
18,"1st",50,"female","survived"
19,"1st",30,"female","survived"
20,"1st",40,"male","died"
21,"1st",40,"male","survived"
22,"1st",50,"female","survived"
23,"1st",30,"male","survived"
24,"1st",40,"female","survived"
25,"1st",30,"female","survived"
26,"1st",20,"male","died"
27,"1st",20,"male","survived"
28,"1st",20,"female","survived"
29,"1st",40,"female","survived"
30,"1st",30,"male","survived"
31,"1st",40,"male","died"
32,"1st",40,"male","survived"
33,"1st",30,"female","survived"
34,"1st",60,"female","survived"
35,"1st",40,"male","died"
36,"1st",40,"female","survived"
37,"1st",20,"female","survived"
38,"1st",-1,"male","survived"
39,"1st",40,"male","died"
40,"1st",50,"male","died"
41,"1st",-1,"male","died"
42,"1st",40,"female","survived"
43,"1st",60,"female","survived"
44,"1st",60,"female","survived"
45,"1st",40,"female","survived"
46,"1st",40,"male","died"
47,"1st",-1,"male","died"
48,"1st",40,"male","survived"
49,"1st",50,"female","survived"
50,"1st",40,"male","survived"
51,"1st",60,"female","survived"
52,"1st",30,"male","died"
53,"1st",30,"male","died"
54,"1st",20,"male","died"
55,"1st",10,"male","survived"
56,"1st",10,"female","survived"
57,"1st",40,"male","survived"
58,"1st",40,"female","survived"
59,"1st",50,"male","died"
60,"1st",-1,"female","survived"
61,"1st",40,"male","died"
62,"1st",80,"female","survived"
63,"1st",50,"male","died"
64,"1st",50,"female","survived"
65,"1st",30,"male","survived"
66,"1st",30,"female","survived"
67,"1st",40,"female","survived"
